Topic,Characteristic,Note,Total - Income groupings (1),Total - Income groupings_Symb,Without income,Without income_Symb,"Less than $20,000 (including loss)","Less than $20,000 (including loss)_Symb","$20,000 to $39,999","$20,000 to $39,999_Symb","$40,000 to $59,999","$40,000 to $59,999_Symb","$60,000 to $79,999","$60,000 to $79,999_Symb","$80,000 to $99,999","$80,000 to $99,999_Symb","$100,000 to $149,999","$100,000 to $149,999_Symb","$150,000 and over"
Citizenship,Total - Citizenship for the population in private households - 25% sample data,62,23749320,,1058905,,4674240,,5669385,,4655070,,3001050,,1903800,,1877265,,909600
Citizenship,  Canadian citizens,63,21118685,,842755,,4015700,,4863075,,4159395,,2790215,,1794620,,1785320,,867610
Citizenship,    Canadian citizens only,,18587555,,733305,,3507890,,4260890,,3698160,,2483790,,1590915,,1564095,,748510
Citizenship,    Citizens of Canada and at least one other country,,2531135,,109450,,507810,,602185,,461240,,306425,,203705,,221225,,119095
Citizenship,  Not Canadian citizens,64,2630630,,216150,,658540,,806305,,495670,,210840,,109180,,91945,,41990
Immigrant status and period of immigration,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,65,23749320,,1058905,,4674240,,5669385,,4655070,,3001050,,1903800,,1877265,,909600
Immigrant status and period of immigration,  Non-immigrants,66,16912425,,726445,,3280775,,3819760,,3297195,,2235130,,1447850,,1416095,,689165
Immigrant status and period of immigration,  Immigrants,67,6009085,,225305,,1122465,,1590745,,1248175,,728480,,436155,,446745,,211015
Immigrant status and period of immigration,Before 1980,,455510,,10330,,75440,,87865,,84140,,62630,,45445,,54090,,35565
Immigrant status and period of immigration,1980 to 1990,,612735,,9510,,100640,,138620,,124865,,86640,,56585,,62320,,33550
Immigrant status and period of immigration,1991 to 2000,,1216640,,18740,,199740,,314420,,254855,,163500,,104120,,110820,,50455
Immigrant status and period of immigration,2001 to 2010,,1740685,,60125,,342880,,474640,,355920,,208375,,122410,,123185,,53155
Immigrant status and period of immigration,2011 to 2021,68,1983520,,126605,,403765,,575200,,428395,,207340,,107595,,96335,,38285
Immigrant status and period of immigration,2011 to 2015,,937500,,45765,,178090,,268980,,210745,,108215,,54350,,51175,,20175
Immigrant status and period of immigration,2016 to 2021,,1046025,,80835,,225680,,306225,,217650,,99120,,53250,,45165,,18110
Immigrant status and period of immigration,  Non-permanent residents,69,,...,,...,,...,,...,,...,,...,,...,,...,
Age at immigration,Total - Age at immigration for the immigrant population in private households - 25% sample data,70,6009085,,225305,,1122465,,1590745,,1248175,,728480,,436155,,446745,,211015
Age at immigration,Under 5 years,,460560,,35975,,109095,,97325,,69440,,52040,,35860,,38695,,22135
Age at immigration,5 to 14 years,,1097210,,85830,,252315,,255270,,176640,,124005,,80095,,81900,,41160
Age at immigration,15 to 24 years,,1172670,,29655,,215030,,346250,,259620,,139725,,76655,,73235,,32490
Age at immigration,25 to 44 years,,2984125,,60395,,462850,,796675,,687755,,392060,,233780,,243105,,107500
Age at immigration,45 years and over,,294525,,13445,,83175,,95220,,54715,,20655,,9770,,9810,,7735
Place of birth,Total - Place of birth for the population in private households - 25% sample data,71,23749320,,1058905,,4674240,,5669385,,4655070,,3001050,,1903800,,1877265,,909600
Place of birth,  Born in Canada,,16707475,,709240,,3224655,,3772520,,3267540,,2215415,,1434720,,1402380,,681005
Place of birth,  Born outside Canada,,7041845,,349665,,1449585,,1896870,,1387530,,785635,,469085,,474890,,228595
Place of birth,    Americas,,1092285,,60595,,217600,,273600,,228395,,132965,,74455,,70580,,34105
Place of birth,      North America,,238950,,20390,,58325,,48870,,36210,,23735,,16665,,19950,,14800
Place of birth,        United States of America,,238650,,20370,,58250,,48805,,36125,,23720,,16645,,19935,,14800
Place of birth,        Other places of birth in North America,,300,,20,,75,,65,,90,,0,,20,,15,,0
Place of birth,      Central America,,202435,,11495,,42940,,56055,,44390,,23450,,11325,,9395,,3380
Place of birth,        El Salvador,,41905,,1305,,7345,,11585,,10770,,5780,,2625,,2025,,465
Place of birth,        Guatemala,,17805,,680,,3410,,5735,,4180,,2090,,870,,630,,210
Place of birth,        Mexico,,113590,,8100,,26305,,31035,,22695,,11995,,5990,,5310,,2165
Place of birth,        Other places of birth in Central America,,29130,,1405,,5880,,7700,,6745,,3590,,1840,,1425,,545
Place of birth,      Caribbean and Bermuda,,317345,,12405,,50780,,82495,,78695,,45285,,22810,,19095,,5775
Place of birth,        Barbados,,7125,,265,,1230,,1735,,1620,,1055,,520,,520,,185
Place of birth,        Cuba,,18380,,865,,3400,,5815,,4065,,2060,,1035,,795,,345
Place of birth,        Dominican Republic,,12995,,830,,2675,,4130,,2985,,1310,,535,,415,,120
Place of birth,        Grenada,,7175,,205,,1020,,2030,,2005,,1020,,460,,345,,80
Place of birth,        Haiti,,88180,,3025,,12530,,25290,,24335,,12870,,5760,,3760,,610
Place of birth,        Jamaica,,108190,,4055,,16535,,25725,,26670,,16670,,8775,,7470,,2290
Place of birth,        Saint Vincent and the Grenadines,,11095,,480,,1845,,3355,,3055,,1350,,565,,350,,95
Place of birth,        Trinidad and Tobago,,42730,,1265,,7145,,9220,,9205,,6475,,3785,,4165,,1470
Place of birth,        Other places of birth in Caribbean and Bermuda,,21480,,1420,,4390,,5205,,4760,,2470,,1380,,1285,,575
Place of birth,      South America,,333550,,16295,,65550,,86175,,69100,,40495,,23655,,22140,,10140
Place of birth,        Argentina,,16070,,500,,3060,,3570,,2975,,1895,,1510,,1445,,1110
Place of birth,        Brazil,,67095,,4420,,13720,,16550,,12380,,7665,,5040,,4930,,2390
Place of birth,        Chile,,21665,,995,,3815,,5505,,4765,,2810,,1720,,1480,,585
Place of birth,        Colombia,,84835,,5435,,18385,,24225,,17760,,8805,,4595,,3960,,1670
Place of birth,        Ecuador,,14135,,690,,2965,,3900,,2905,,1710,,875,,795,,300
Place of birth,        Guyana,,57960,,1150,,9850,,13900,,13520,,8620,,4665,,4515,,1730
Place of birth,        Peru,,27435,,1025,,5060,,7240,,6205,,3465,,1950,,1775,,720
Place of birth,        Venezuela,72,28425,,1505,,5435,,7170,,5340,,3310,,2170,,2290,,1210
Place of birth,        Other places of birth in South America,,15925,,580,,3265,,4115,,3250,,2210,,1120,,955,,435
Place of birth,    Europe,,1197915,,43310,,203035,,255910,,229120,,162160,,112895,,123065,,68420
Place of birth,      Western Europe,,270410,,12860,,47560,,56325,,52275,,35560,,25060,,26040,,14730
Place of birth,        Austria,,4690,,220,,850,,1010,,730,,595,,435,,495,,365
Place of birth,        Belgium,,11940,,515,,2135,,2580,,2200,,1555,,1015,,1230,,705
Place of birth,        France,,141370,,8100,,23830,,28855,,28435,,18875,,13220,,13065,,6985
Place of birth,        Germany,,74120,,2715,,13610,,15630,,13880,,9570,,6770,,7515,,4420
Place of birth,        Netherlands,,24325,,730,,4340,,5105,,4560,,3200,,2375,,2465,,1550
Place of birth,        Switzerland,,13390,,550,,2680,,2995,,2390,,1680,,1195,,1215,,680
Place of birth,        Other places of birth in Western Europe,,580,,30,,110,,145,,85,,90,,35,,60,,25
Place of birth,      Eastern Europe,,383460,,11785,,66485,,88720,,73875,,51555,,36025,,38180,,16835
Place of birth,        Belarus,,10175,,335,,1910,,2355,,1680,,1315,,1050,,1110,,425
Place of birth,        Bulgaria,,16555,,495,,2800,,3925,,3295,,2225,,1600,,1470,,740
Place of birth,        Czechia,,11310,,315,,2025,,2725,,2050,,1455,,925,,1100,,720
Place of birth,        Hungary,,14915,,820,,3370,,4020,,2795,,1495,,985,,995,,435
Place of birth,        Moldova,73,17130,,640,,2475,,4135,,4240,,2540,,1520,,1155,,430
Place of birth,        Poland,,87065,,1610,,14125,,19510,,17830,,12870,,8505,,8730,,3890
Place of birth,        Romania,,71355,,1520,,10135,,13750,,13465,,10890,,8475,,9260,,3875
Place of birth,        Russian Federation,,70200,,2995,,14260,,16815,,12085,,8070,,6030,,6720,,3225
Place of birth,        Slovakia,,9080,,290,,1580,,2095,,1870,,1190,,675,,945,,440
Place of birth,        Ukraine,,68125,,2560,,12540,,17400,,13160,,8540,,5610,,5960,,2360
Place of birth,        Other places of birth in Eastern Europe,,7540,,210,,1280,,1980,,1410,,970,,650,,740,,295
Place of birth,      Northern Europe,,285970,,10680,,45115,,52010,,49910,,38350,,28510,,35935,,25465
Place of birth,        Denmark,,3285,,160,,555,,565,,505,,445,,305,,400,,345
Place of birth,        Ireland,74,21890,,895,,2970,,3605,,4040,,3475,,2395,,2855,,1665
Place of birth,        United Kingdom,75,249840,,9045,,39365,,45890,,43655,,33110,,24930,,31365,,22480
Place of birth,        Other places of birth in Northern Europe,,10955,,580,,2220,,1950,,1705,,1320,,875,,1315,,985
Place of birth,      Southern Europe,,258075,,7985,,43875,,58860,,53045,,36700,,23300,,22915,,11385
Place of birth,        Albania,,16775,,430,,2845,,4885,,3635,,2265,,1275,,1040,,400
Place of birth,        Bosnia and Herzegovina,,28305,,380,,4075,,6330,,6225,,4410,,2885,,2720,,1285
Place of birth,        Croatia,,18090,,355,,2900,,3905,,3980,,2755,,1685,,1775,,735
Place of birth,        Greece,,16625,,745,,3355,,4780,,2895,,1650,,1220,,1195,,790
Place of birth,        Italy,,49870,,1645,,8815,,11025,,9915,,6805,,4060,,4680,,2925
Place of birth,        North Macedonia,,6845,,135,,1230,,1675,,1400,,975,,550,,590,,290
Place of birth,        Portugal,,76880,,2690,,12915,,15920,,16330,,12085,,7815,,6605,,2525
Place of birth,        Serbia,76,22885,,550,,3740,,4680,,4310,,3285,,2380,,2585,,1350
Place of birth,        Spain,,9165,,725,,1585,,1805,,1565,,1145,,675,,945,,720
Place of birth,        Other places of birth in Southern Europe,,12630,,325,,2415,,3855,,2795,,1325,,765,,795,,365
Place of birth,    Africa,,762725,,43125,,152115,,203775,,159815,,89900,,48450,,43940,,21605
Place of birth,      Western Africa,,177220,,12240,,33830,,43925,,39100,,23060,,12110,,9760,,3195
Place of birth,        C̫te d'Ivoire,,18340,,1535,,3880,,4365,,4420,,2285,,975,,715,,165
Place of birth,        Ghana,,24095,,875,,4225,,6010,,5340,,3550,,1940,,1635,,525
Place of birth,        Nigeria,,89935,,7305,,17550,,21990,,18355,,11310,,6175,,5300,,1965
Place of birth,        Other places of birth in Western Africa,,44845,,2525,,8175,,11560,,10990,,5915,,3020,,2115,,545
Place of birth,      Eastern Africa,,213570,,10785,,41705,,62615,,45385,,24350,,11940,,11430,,5360
Place of birth,        Eritrea,,27630,,1920,,5650,,10385,,6765,,1895,,550,,370,,95
Place of birth,        Ethiopia,,39260,,1550,,7765,,13600,,8970,,4115,,1725,,1180,,360
Place of birth,        Kenya,,23640,,1080,,4575,,5415,,4010,,3015,,1815,,2330,,1395
Place of birth,        Mauritius,,15835,,825,,2820,,3015,,3845,,2535,,1195,,1180,,425
Place of birth,        Somalia,,30250,,1525,,7010,,11105,,5845,,2550,,1165,,865,,190
Place of birth,        Tanzania,77,13350,,510,,2720,,2825,,2275,,1595,,1050,,1435,,940
Place of birth,        Uganda,,10195,,540,,1695,,2455,,1885,,1155,,875,,925,,670
Place of birth,        Zimbabwe,,12065,,335,,1865,,2630,,2380,,1810,,1120,,1315,,610
Place of birth,        Other places of birth in Eastern Africa,,41340,,2495,,7615,,11185,,9410,,5685,,2455,,1830,,665
Place of birth,      Northern Africa,,253195,,13640,,55205,,69815,,51110,,27135,,15735,,14025,,6530
Place of birth,        Algeria,,74545,,3610,,15660,,20700,,16945,,8485,,4870,,3365,,910
Place of birth,        Egypt,,54840,,3230,,13020,,12940,,8565,,5360,,3800,,4985,,2935
Place of birth,        Morocco,,75385,,3750,,15770,,21360,,16460,,8535,,4385,,3560,,1565
Place of birth,        Sudan,78,13320,,935,,3395,,4495,,2340,,1015,,530,,395,,205
Place of birth,        Tunisia,,26390,,1505,,5090,,7460,,5635,,3130,,1760,,1350,,465
Place of birth,        Other places of birth in Northern Africa,,8725,,605,,2265,,2865,,1170,,615,,395,,365,,450
Place of birth,      Central Africa,,75235,,4355,,13835,,20320,,17650,,9965,,4745,,3450,,920
Place of birth,        Cameroon,,26925,,1555,,4405,,5910,,6255,,4365,,2210,,1835,,390
Place of birth,"        Congo, Democratic Republic of the",,35110,,1905,,6810,,10475,,8510,,4145,,1830,,1085,,360
Place of birth,        Other places of birth in Central Africa,,13200,,895,,2625,,3935,,2890,,1455,,700,,535,,170
Place of birth,      Southern Africa,,43510,,2100,,7540,,7105,,6580,,5395,,3920,,5270,,5600
Place of birth,"        South Africa, Republic of",,40555,,1920,,6870,,6465,,6005,,5025,,3765,,5025,,5475
Place of birth,        Other places of birth in Southern Africa,,2955,,185,,665,,640,,575,,370,,155,,245,,120
Place of birth,    Asia,,3934085,,200590,,868550,,1152465,,759035,,392950,,228035,,231625,,100835
Place of birth,      West Central Asia and the Middle East,,647565,,40590,,164125,,201730,,101610,,51755,,32505,,36220,,19035
Place of birth,        Afghanistan,,55005,,2080,,13095,,22305,,10195,,4025,,1665,,1305,,340
Place of birth,        Iran,79,174655,,8590,,41155,,52280,,26590,,15175,,10855,,13195,,6815
Place of birth,        Iraq,,69860,,4035,,19690,,25305,,11150,,4455,,2205,,1965,,1060
Place of birth,        Israel,,22340,,1640,,5205,,5340,,3025,,2085,,1520,,1830,,1700
Place of birth,        Jordan,,14155,,1160,,3760,,4280,,2010,,1120,,670,,745,,405
Place of birth,        Kazakhstan,,13210,,555,,2560,,3740,,2725,,1480,,940,,855,,355
Place of birth,        Kuwait,,17480,,1285,,4120,,4490,,2545,,1650,,1185,,1405,,810
Place of birth,        Lebanon,,78095,,3350,,17870,,21860,,13140,,7595,,5070,,5845,,3370
Place of birth,        Saudi Arabia,,29680,,3105,,9110,,7680,,3835,,2275,,1520,,1540,,610
Place of birth,        Syria,80,71250,,6770,,20580,,26155,,10840,,3220,,1440,,1435,,820
Place of birth,        Turkey,,34245,,2215,,9165,,10540,,5665,,2390,,1450,,1825,,985
Place of birth,        United Arab Emirates,,23735,,2885,,7140,,5355,,2950,,2135,,1295,,1420,,565
Place of birth,        Other places of birth in West Central Asia and the Middle East,,43845,,2925,,10680,,12400,,6960,,4155,,2690,,2850,,1190
Place of birth,      Eastern Asia,,1029650,,55010,,273745,,277495,,160210,,93835,,61965,,71860,,35535
Place of birth,        China,81,646465,,35650,,176200,,183830,,98120,,54860,,36130,,42140,,19530
Place of birth,        Hong Kong,82,152890,,5465,,32925,,31040,,24365,,18135,,14105,,17220,,9630
Place of birth,        Japan,,31700,,2170,,9115,,8455,,5595,,2755,,1360,,1260,,990
Place of birth,"        Korea, South",83,138230,,9570,,37190,,39940,,22930,,12005,,6605,,6875,,3120
Place of birth,        Taiwan,,55775,,1945,,17150,,13100,,8375,,5565,,3510,,4025,,2110
Place of birth,        Other places of birth in Eastern Asia,,4595,,205,,1165,,1135,,830,,520,,255,,335,,155
Place of birth,      Southeast Asia,,891615,,38115,,141765,,253375,,240635,,114760,,49440,,41065,,12470
Place of birth,        Cambodia,,17535,,480,,3945,,5255,,4150,,1950,,685,,800,,270
Place of birth,        Indonesia,,14025,,845,,3295,,3240,,2745,,1605,,865,,955,,475
Place of birth,        Laos,84,11085,,200,,1805,,2655,,3130,,1705,,725,,625,,240
Place of birth,        Malaysia,,18500,,725,,3395,,3995,,3130,,2320,,1675,,2070,,1190
Place of birth,        Philippines,,633620,,26820,,86505,,178605,,187540,,87760,,34775,,26020,,5600
Place of birth,        Singapore,,10545,,525,,2560,,2140,,1490,,1195,,855,,1120,,660
Place of birth,        Thailand,,18130,,1080,,4265,,5350,,3825,,1805,,880,,665,,255
Place of birth,        Viet Nam,,157360,,7170,,33825,,49170,,32080,,15060,,8400,,8145,,3495
Place of birth,        Other places of birth in Southeast Asia,,10825,,280,,2170,,2960,,2545,,1360,,580,,660,,275
Place of birth,      Southern Asia,,1365250,,66875,,288910,,419870,,256580,,132600,,84135,,82485,,33800
Place of birth,        Bangladesh,,68770,,3570,,17005,,23455,,11930,,5640,,3070,,3045,,1055
Place of birth,        India,,956445,,47050,,194340,,285755,,182840,,96515,,63445,,61675,,24825
Place of birth,        Nepal,,18860,,1310,,3585,,6220,,4215,,1825,,815,,740,,155
Place of birth,        Pakistan,,204415,,11355,,54040,,65130,,31510,,16120,,10010,,10770,,5490
Place of birth,        Sri Lanka,,112995,,3410,,18915,,37960,,25130,,12330,,6755,,6230,,2270
Place of birth,        Other places of birth in Southern Asia,,3755,,170,,1025,,1355,,955,,165,,40,,30,,0
Place of birth,    Oceania,,54790,,2045,,8285,,11100,,11150,,7655,,5240,,5675,,3635
Place of birth,      Australia,,25700,,1135,,3990,,4830,,4460,,3120,,2675,,3125,,2360
Place of birth,      Fiji,,17690,,310,,2425,,4225,,4710,,3040,,1505,,1150,,335
Place of birth,      New Zealand,,9545,,445,,1415,,1640,,1660,,1310,,905,,1305,,880
Place of birth,      Other places of birth in Oceania,,1855,,160,,455,,410,,320,,190,,150,,90,,65
Place of birth,    Other places of birth,85,45,,0,,0,,0,,0,,0,,0,,0,,0
Place of birth for the immigrant population,Total - Place of birth for the immigrant population in private households - 25% sample data,86,6009085,,225305,,1122465,,1590745,,1248175,,728480,,436155,,446745,,211015
Place of birth for the immigrant population,  Americas,,879020,,34635,,156090,,217170,,196375,,118015,,66130,,62365,,28235
Place of birth for the immigrant population,    Brazil,,42525,,1690,,6990,,9165,,8590,,5865,,3960,,4215,,2040
Place of birth for the immigrant population,    Colombia,,69805,,2700,,13130,,19955,,15955,,8315,,4400,,3800,,1540
Place of birth for the immigrant population,    El Salvador,,40060,,1065,,6710,,11045,,10530,,5685,,2575,,1995,,445
Place of birth for the immigrant population,    Guyana,,56600,,965,,9400,,13515,,13345,,8565,,4635,,4475,,1705
Place of birth for the immigrant population,    Haiti,,76725,,2280,,10485,,20730,,21115,,12245,,5625,,3655,,585
Place of birth for the immigrant population,    Jamaica,,100250,,3085,,14475,,23230,,25240,,16115,,8595,,7285,,2220
Place of birth for the immigrant population,    Mexico,,79285,,3375,,16145,,21230,,17510,,9725,,4975,,4490,,1835
Place of birth for the immigrant population,    Peru,,24915,,575,,4245,,6640,,5940,,3315,,1840,,1715,,655
Place of birth for the immigrant population,    Trinidad and Tobago,,41110,,1005,,6625,,8900,,9010,,6340,,3725,,4100,,1405
Place of birth for the immigrant population,    United States of America,,158370,,11625,,35145,,31965,,25350,,16890,,12095,,14730,,10565
Place of birth for the immigrant population,    Other places of birth in Americas,,189385,,6270,,32740,,50800,,43785,,24960,,13695,,11905,,5230
Place of birth for the immigrant population,  Europe,,1046975,,28125,,166320,,220555,,203960,,147405,,103915,,114100,,62595
Place of birth for the immigrant population,    Bosnia and Herzegovina,,27985,,360,,3980,,6260,,6165,,4370,,2850,,2720,,1280
Place of birth for the immigrant population,    Croatia,,17415,,265,,2740,,3760,,3835,,2680,,1660,,1755,,720
Place of birth for the immigrant population,    France,,92105,,2440,,11190,,16900,,19830,,14445,,10695,,11040,,5565
Place of birth for the immigrant population,    Germany,,50865,,1710,,9780,,11185,,9485,,6120,,4360,,5010,,3210
Place of birth for the immigrant population,    Greece,,14365,,450,,2750,,4140,,2550,,1520,,1110,,1110,,740
Place of birth for the immigrant population,    Hungary,,13195,,515,,2825,,3605,,2575,,1390,,940,,945,,400
Place of birth for the immigrant population,    Italy,,44755,,1055,,7465,,9755,,9115,,6280,,3875,,4415,,2795
Place of birth for the immigrant population,    Netherlands,,21945,,520,,3790,,4625,,4155,,2975,,2200,,2290,,1385
Place of birth for the immigrant population,    Poland,,85180,,1420,,13615,,19035,,17505,,12685,,8430,,8655,,3845
Place of birth for the immigrant population,    Portugal,,73305,,2235,,12080,,15035,,15810,,11695,,7535,,6455,,2455
Place of birth for the immigrant population,    Romania,,69850,,1385,,9715,,13290,,13250,,10780,,8410,,9195,,3825
Place of birth for the immigrant population,    Russian Federation,,65365,,2245,,12555,,15645,,11555,,7795,,5860,,6540,,3170
Place of birth for the immigrant population,    Serbia,76,21920,,440,,3510,,4445,,4135,,3210,,2315,,2540,,1330
Place of birth for the immigrant population,    Ukraine,,62910,,1775,,10950,,16095,,12275,,8270,,5435,,5825,,2280
Place of birth for the immigrant population,    United Kingdom,75,223965,,6930,,33330,,40055,,39565,,30550,,23290,,29365,,20885
Place of birth for the immigrant population,    Other places of birth in Europe,,161840,,4375,,26045,,36720,,32140,,22650,,14945,,16240,,8725
Place of birth for the immigrant population,  Africa,,656895,,29960,,118470,,170800,,143460,,84450,,46480,,42505,,20775
Place of birth for the immigrant population,    Algeria,,67335,,2515,,12645,,18615,,16250,,8300,,4810,,3310,,885
Place of birth for the immigrant population,"    Congo, Democratic Republic of the",,29570,,1305,,4990,,8685,,7565,,3900,,1760,,1030,,330
Place of birth for the immigrant population,    Egypt,,50325,,2515,,11430,,11740,,8005,,5170,,3690,,4890,,2885
Place of birth for the immigrant population,    Eritrea,,26990,,1845,,5480,,10100,,6670,,1885,,550,,370,,95
Place of birth for the immigrant population,    Ethiopia,,37180,,1230,,7065,,12940,,8730,,4030,,1675,,1165,,345
Place of birth for the immigrant population,    Morocco,,67755,,2455,,12800,,19235,,15725,,8160,,4295,,3530,,1550
Place of birth for the immigrant population,    Nigeria,,65885,,4220,,10790,,14390,,13805,,9935,,5775,,5080,,1895
Place of birth for the immigrant population,    Somalia,,28890,,1355,,6615,,10515,,5680,,2530,,1155,,855,,180
Place of birth for the immigrant population,"    South Africa, Republic of",,36695,,1340,,5860,,5810,,5490,,4650,,3510,,4775,,5255
Place of birth for the immigrant population,    Other places of birth in Africa,,246285,,11175,,40795,,58760,,55540,,35890,,19270,,17500,,7355
Place of birth for the immigrant population,  Asia,,3382160,,131430,,675665,,973750,,694890,,372040,,215150,,222870,,96365
Place of birth for the immigrant population,    Afghanistan,,53760,,1890,,12650,,21890,,10045,,4000,,1640,,1305,,340
Place of birth for the immigrant population,    Iran,79,147840,,4670,,31725,,43485,,23575,,14330,,10480,,12915,,6660
Place of birth for the immigrant population,    Iraq,,68280,,3755,,19225,,24830,,10925,,4405,,2170,,1935,,1040
Place of birth for the immigrant population,    Lebanon,,72150,,2390,,15655,,20345,,12480,,7315,,4940,,5715,,3310
Place of birth for the immigrant population,    Syria,80,69755,,6520,,20025,,25720,,10755,,3160,,1390,,1395,,790
Place of birth for the immigrant population,    Turkey,,27430,,1155,,6520,,8675,,4960,,2150,,1355,,1685,,930
Place of birth for the immigrant population,    China,81,544845,,18755,,128230,,162085,,89950,,51870,,34625,,40855,,18480
Place of birth for the immigrant population,    Hong Kong,82,144115,,3700,,29260,,29585,,23620,,17715,,13815,,16925,,9500
Place of birth for the immigrant population,"    Korea, South",83,113320,,4880,,28160,,33495,,20110,,11110,,6230,,6505,,2830
Place of birth for the immigrant population,    Taiwan,,50715,,1195,,15050,,11970,,7830,,5335,,3390,,3915,,2035
Place of birth for the immigrant population,    Philippines,,600020,,23035,,78840,,165060,,181345,,86380,,34230,,25670,,5460
Place of birth for the immigrant population,    Viet Nam,,140150,,4100,,27065,,44155,,30570,,14615,,8190,,8030,,3430
Place of birth for the immigrant population,    Bangladesh,,60335,,2700,,13715,,20300,,11125,,5445,,3000,,3010,,1045
Place of birth for the immigrant population,    India,,701940,,24825,,116555,,187565,,149955,,86245,,55820,,57450,,23525
Place of birth for the immigrant population,    Pakistan,,196155,,10200,,51230,,62630,,30555,,15735,,9825,,10595,,5380
Place of birth for the immigrant population,    Sri Lanka,,109035,,2690,,17760,,36690,,24600,,12210,,6675,,6160,,2260
Place of birth for the immigrant population,    Other places of birth in Asia,,282305,,14980,,64005,,75275,,52470,,30025,,17380,,18820,,9360
Place of birth for the immigrant population,  Oceania and other places of birth,87,44030,,1165,,5915,,8470,,9500,,6565,,4480,,4900,,3040
Generation status,Total - Generation status for the population in private households - 25% sample data,88,23749320,,1058905,,4674240,,5669385,,4655070,,3001050,,1903800,,1877265,,909600
Generation status,  First generation,89,7041845,,349665,,1449585,,1896870,,1387530,,785635,,469085,,474890,,228595
Generation status,  Second generation,90,3717825,,228725,,791310,,804640,,610665,,449510,,311205,,337020,,184755
Generation status,  Third generation or more,91,12989645,,480520,,2433350,,2967875,,2656875,,1765910,,1123510,,1065355,,496250
Admission category and applicant type,Total - Admission category and applicant type for the population in private households - 25% sample data,92,23749320,,1058905,,4674240,,5669385,,4655070,,3001050,,1903800,,1877265,,909600
Admission category and applicant type,  Economic immigrants,93,3073010,,118655,,552070,,731335,,622875,,394690,,252535,,272630,,128230
Admission category and applicant type,    Principal applicants,94,1341875,,16805,,139745,,283450,,307055,,209950,,141795,,162755,,80325
Admission category and applicant type,    Secondary applicants,95,1731135,,101855,,412325,,447885,,315825,,184740,,110740,,109875,,47900
Admission category and applicant type,  Immigrants sponsored by family,96,1576370,,57440,,305240,,471040,,353100,,180135,,92800,,82705,,33915
Admission category and applicant type,  Refugees,97,831940,,35815,,174770,,277375,,172480,,83375,,41830,,34285,,12020
Admission category and applicant type,  Other immigrants,98,72250,,3065,,14950,,23130,,15585,,7645,,3545,,3040,,1285
Admission category and applicant type,  Admission category - not applicable,99,18195740,,843925,,3627215,,4166510,,3491035,,2335205,,1513095,,1484610,,734150